Legend:,Control Before Study,Control After Study,Patients Before Study,Patients After Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uniqueID,UP name,Lineage( full ),Median_Control_Before_Diet,Mean_Control_Before_Diet,Standard_Deviation_Control_Before_Diet,Interquartile_Range_Control_Before_Diet,Range_Control_Before_Diet,0%_Control_Before_Diet,25%_Control_Before_Diet,50%_Control_Before_Diet,75%_Control_Before_Diet,100%_Control_Before_Diet,Median_Control_After_Diet,Mean_Control_After_Diet,Standard_Deviation_Control_After_Diet,Interquartile_Range_Control_After_Diet,Range_Control_After_Diet,0%_Control_After_Diet,25%_Control_After_Diet,50%_Control_After_Diet,75%_Control_After_Diet,100%_Control_After_Diet,Median_Patient_Before_Diet,Mean_Patient_Before_Diet,Standard_Deviation_Patient_Before_Diet,Interquartile_Range_Patient_Before_Diet,Range_Patient_Before_Diet,0%_Patient_Before_Diet,25%_Patient_Before_Diet,50%_Patient_Before_Diet,75%_Patient_Before_Diet,100%_Patient_Before_Diet,Median_Patient_After_Diet,Mean_Patient_After_Diet,Standard_Deviation_Patient_After_Diet,Interquartile_Range_Patient_After_Diet,Range_Patient_After_Diet,0%_Patient_After_Diet,25%_Patient_After_Diet,50%_Patient_After_Diet,75%_Patient_After_Diet,100%_Patient_After_Diet
UP000008150_AP010890,Bifidobacterium longum subsp infantis (strain 157F),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. infantis,0.00447,0.004755455,0.0038122,0.0064,0.01029,0.00045,0.001295,0.00447,0.007695,0.01074,0.002255,0.002957,0.002897938,0.0023025,0.01023,0.00029,0.00119,0.002255,0.0034925,0.01052,0.005365,0.0057775,0.005356539,0.005145,0.0194,2.00E-05,0.002135,0.005365,0.00728,0.01942,0.00034,0.001488333,0.002320752,0.00152,0.00695,0,4.75E-05,0.00034,0.0015675,0.00695
UP000005219_AP012044,Oscillibacter valericigenes (strain DSM 18026 / NBRC 101213 / Sjm18-20),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; Oscillibacter valericigenes,0.00022,0.000299091,0.000243452,0.000385,0.00063,5.00E-05,7.00E-05,0.00022,0.000455,0.00068,0.00016,0.000239,0.000206422,0.0001225,0.00069,7.00E-05,0.0001425,0.00016,0.000265,0.00076,0.00015,0.0002375,0.000188493,0.0003225,0.00047,4.00E-05,8.50E-05,0.00015,0.0004075,0.00051,0.00024,0.000254167,0.000160083,0.0001725,0.00054,1.00E-05,0.0001575,0.00024,0.00033,0.00055
UP000007946_AP012054,Streptococcus pasteurianus (strain ATCC 43144 / JCM 5346 / CDC 1723-81),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pasteurianus,5.00E-05,7.00E-05,5.22E-05,8.50E-05,0.00013,1.00E-05,3.00E-05,5.00E-05,0.000115,0.00014,7.00E-05,0.000109,0.000102356,0.0001025,0.00034,1.00E-05,4.25E-05,7.00E-05,0.000145,0.00035,9.00E-05,0.000113333,0.000123018,8.50E-05,0.00046,2.00E-05,4.00E-05,9.00E-05,0.000125,0.00048,5.50E-05,6.25E-05,4.56E-05,3.25E-05,0.00018,1.00E-05,4.00E-05,5.50E-05,7.25E-05,0.00019
*UP000008929_AP012211,Eggerthella sp (strain YY7918),Bacteria; Terrabacteria group; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Eggerthella,3.00E-05,0.000152727,0.00030614,9.00E-05,0.00102,1.00E-05,1.00E-05,3.00E-05,1.00E-04,0.00103,4.00E-05,0.000194,0.000398865,0.0001075,0.0013,1.00E-05,2.25E-05,4.00E-05,0.00013,0.00131,5.00E-05,0.000101667,0.000116294,0.000145,0.00038,0,1.75E-05,5.00E-05,0.0001625,0.00038,6.00E-05,0.000225833,0.000448806,0.0002375,0.00161,0,2.00E-05,6.00E-05,0.0002575,0.00161
UP000003323_AP012326,Bifidobacterium dentium ATCC 27679,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium dentium,4.00E-05,0.000655455,0.001233924,0.00036,0.00328,0,2.00E-05,4.00E-05,0.00038,0.00328,5.50E-05,0.000165,0.000330059,5.25E-05,0.00109,1.00E-05,4.25E-05,5.50E-05,9.50E-05,0.0011,0.000105,0.000629167,0.001701387,0.000155,0.00599,0,1.75E-05,0.000105,0.0001725,0.00599,0,0.000388333,0.001310786,1.25E-05,0.00455,0,0,0,1.25E-05,0.00455
UP000028988_AP012327,Bifidobacterium kashiwanohense JCM 15439 = DSM 21854,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium catenulatum; Bifidobacterium catenulatum subsp. kashiwanohense,0.00106,0.00906,0.01385131,0.01637,0.04336,0.00015,0.00024,0.00106,0.01661,0.04351,0.001515,0.003328,0.004102557,0.0042375,0.01059,1.00E-04,0.0004575,0.001515,0.004695,0.01069,0.00152,0.006443333,0.010220804,0.0077225,0.03537,0.00025,0.0005525,0.00152,0.008275,0.03562,0.00012,0.000335,0.000448888,0.0004525,0.00134,1.00E-05,1.00E-05,0.00012,0.0004625,0.00135
UP000015561_AP012541,Lactobacillus paracasei subsp paracasei JCM 8130,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus casei group; Lactobacillus paracasei; Lactobacillus paracasei subsp. paracasei,1.00E-05,8.18E-06,7.51E-06,1.00E-05,2.00E-05,0,0,1.00E-05,1.00E-05,2.00E-05,0,5.90E-05,0.000166229,7.50E-06,0.00053,0,0,0,7.50E-06,0.00053,0,1.67E-06,3.89E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,1.42E-05,4.29E-05,2.50E-06,0.00015,0,0,0,2.50E-06,0.00015
*UP000015924_AP013105,Adlercreutzia equolifaciens DSM 19450,Bacteria; Terrabacteria group; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Adlercreutzia; Adlercreutzia equolifaciens,0.00262,0.003208182,0.002288706,0.003635,0.00682,0.00109,0.00128,0.00262,0.004915,0.00791,0.00276,0.003018,0.001824359,0.00217,0.00495,0.00123,0.00147,0.00276,0.00364,0.00618,0.001775,0.0017,0.00155391,0.00285,0.00399,0,0.0001275,0.001775,0.0029775,0.00399,0.00113,0.00511,0.011631803,0.001595,0.04138,2.00E-05,0.0007175,0.00113,0.0023125,0.0414
UP000217431_AP014597,Prevotella intermedia,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella,3.00E-05,3.73E-05,3.77E-05,4.50E-05,0.00013,0,1.00E-05,3.00E-05,5.50E-05,0.00013,2.00E-05,0.000247,0.000721558,3.75E-05,0.0023,0,2.50E-06,2.00E-05,4.00E-05,0.0023,1.00E-05,4.50E-05,7.29E-05,6.25E-05,0.00025,0,7.50E-06,1.00E-05,7.00E-05,0.00025,4.00E-05,5.25E-05,7.85E-05,6.25E-05,0.00028,0,0,4.00E-05,6.25E-05,0.00028
UP000031657_AP014658,Bifidobacterium longum,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,0.00061,0.00078,0.000610295,0.00116,0.00145,9.00E-05,0.00022,0.00061,0.00138,0.00154,0.000375,0.000582,0.000535035,0.0006375,0.00174,7.00E-05,0.00022,0.000375,0.0008575,0.00181,0.00083,0.001051667,0.001159983,0.000795,0.00435,1.00E-05,0.00038,0.00083,0.001175,0.00436,1.00E-04,0.00027,0.000446746,0.00027,0.00156,0,1.00E-05,1.00E-04,0.00028,0.00156
UP000268003_AP018538,Enterococcus faecalis (Streptococcus faecalis),cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,3.00E-05,3.64E-05,2.06E-05,3.00E-05,6.00E-05,1.00E-05,2.00E-05,3.00E-05,5.00E-05,7.00E-05,3.50E-05,4.40E-05,2.88E-05,3.50E-05,9.00E-05,1.00E-05,2.25E-05,3.50E-05,5.75E-05,1.00E-04,0.000125,0.0005775,0.001427115,0.00027,0.00505,2.00E-05,2.75E-05,0.000125,0.0002975,0.00507,4.00E-05,0.014950833,0.05158341,3.50E-05,0.17874,1.00E-05,3.00E-05,4.00E-05,6.50E-05,0.17875
UP000001170_CP000024,Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus thermophilus,3.00E-05,0.000287273,0.000617432,0.00028,0.00209,0,5.00E-06,3.00E-05,0.000285,0.00209,4.00E-05,0.000338,0.000643459,0.0001075,0.00185,0,1.00E-05,4.00E-05,0.0001175,0.00185,6.00E-05,0.000286667,0.000716117,0.000145,0.00254,0,7.50E-06,6.00E-05,0.0001525,0.00254,5.00E-06,9.92E-05,0.000185593,8.25E-05,0.00055,0,0,5.00E-06,8.25E-05,0.00055
UP000002861_CP000139,Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides vulgatus,0.00781,0.009535455,0.010183465,0.008825,0.0341,0.00187,0.002515,0.00781,0.01134,0.03597,0.016945,0.014807,0.008243001,0.0132475,0.02445,0.0018,0.0072525,0.016945,0.0205,0.02625,0.00533,0.0103225,0.009847156,0.017365,0.02715,7.00E-05,0.00229,0.00533,0.019655,0.02722,0.01186,0.012331667,0.011290369,0.01626,0.03276,6.00E-05,0.0019925,0.01186,0.0182525,0.03282
UP000000566_CP000140,Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides distasonis,0.00118,0.00209,0.0019405,0.001945,0.00607,0.00061,0.000905,0.00118,0.00285,0.00668,0.00285,0.003842,0.003425187,0.003715,0.01084,0.00018,0.0015375,0.00285,0.0052525,0.01102,0.001895,0.003621667,0.003621649,0.0028225,0.01188,1.00E-05,0.00167,0.001895,0.0044925,0.01189,0.003695,0.0071175,0.008896618,0.007255,0.03048,1.00E-05,0.00192,0.003695,0.009175,0.03049
UP000001952_CP000243,Escherichia coli (strain UTI89 / UPEC),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,2.00E-05,0.000103636,0.000235681,4.50E-05,0.00079,0,0,2.00E-05,4.50E-05,0.00079,5.00E-06,2.30E-05,3.30E-05,3.50E-05,9.00E-05,0,0,5.00E-06,3.50E-05,9.00E-05,0.00039,0.016813333,0.051086549,0.00213,0.17835,1.00E-05,1.00E-05,0.00039,0.00214,0.17836,0.002405,0.038185,0.085520411,0.0144825,0.29017,6.00E-05,0.0004725,0.002405,0.014955,0.29023
UP000024500_CP000419,Streptococcus thermophilus TH1435,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus thermophilus,5.00E-05,0.00099,0.001849405,0.001215,0.00612,1.00E-05,2.50E-05,5.00E-05,0.00124,0.00613,1.00E-04,0.001195,0.002667318,0.0005525,0.00858,1.00E-05,2.50E-05,1.00E-04,0.0005775,0.00859,0.000215,0.0015025,0.003918033,0.0006725,0.01384,0,1.75E-05,0.000215,0.00069,0.01384,1.00E-05,0.000334167,0.000839009,0.0001575,0.00294,0,0,1.00E-05,0.0001575,0.00294
UP000002419_CP000605,Bifidobacterium longum (strain DJO10A),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum,0.00107,0.001677273,0.00161892,0.00252,0.00472,1.00E-04,0.000185,0.00107,0.002705,0.00482,0.000455,0.000889,0.001161345,0.0007225,0.0039,9.00E-05,0.00024,0.000455,0.0009625,0.00399,0.00147,0.00312,0.004337982,0.002125,0.01525,6.00E-05,0.00072,0.00147,0.002845,0.01531,0.000115,0.000766667,0.001480149,0.000515,0.00488,0,1.00E-05,0.000115,0.000525,0.00488
UP000001992_CP000678,Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS),Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter smithii,0.00011,0.003754545,0.004627261,0.00681,0.01299,0,5.00E-06,0.00011,0.006815,0.01299,0.00267,0.006297,0.009455988,0.0085325,0.03048,0,0.0001675,0.00267,0.0087,0.03048,0,0.003409167,0.007156363,0.001475,0.02275,0,0,0,0.001475,0.02275,0,0.002738333,0.006950025,0.0003025,0.02353,0,0,0,0.0003025,0.02353
UP000242549_CP000764,Bacillus cytotoxicus,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cytotoxicus,2.00E-05,2.00E-05,1.34E-05,2.00E-05,4.00E-05,0,1.00E-05,2.00E-05,3.00E-05,4.00E-05,2.00E-05,2.60E-05,2.50E-05,1.75E-05,8.00E-05,0,1.00E-05,2.00E-05,2.75E-05,8.00E-05,1.00E-05,1.25E-05,1.14E-05,7.50E-06,3.00E-05,0,7.50E-06,1.00E-05,1.50E-05,3.00E-05,1.00E-05,9.17E-06,7.93E-06,1.25E-05,2.00E-05,0,0,1.00E-05,1.25E-05,2.00E-05
UP000002407_CP000776,Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A),Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter hominis,1.00E-05,1.91E-05,2.88E-05,2.00E-05,1.00E-04,0,0,1.00E-05,2.00E-05,1.00E-04,0,0.000798,0.002512974,0,0.00795,0,0,0,0,0.00795,1.00E-05,4.08E-05,6.79E-05,4.25E-05,0.00022,0,0,1.00E-05,4.25E-05,0.00022,2.00E-05,0.000120833,0.000323207,4.00E-05,0.00114,0,0,2.00E-05,4.00E-05,0.00114
UP000002359_CP000837,Streptococcus suis (strain GZ1),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus suis,2.00E-05,7.18E-05,9.34E-05,0.000115,0.00025,0,1.00E-05,2.00E-05,0.000125,0.00025,4.50E-05,9.70E-05,0.000100449,0.0001225,0.00025,2.00E-05,3.00E-05,4.50E-05,0.0001525,0.00027,3.50E-05,6.33E-05,7.80E-05,9.25E-05,0.00027,0,1.00E-05,3.50E-05,0.0001025,0.00027,1.00E-05,4.75E-05,6.57E-05,6.25E-05,2.00E-04,0,7.50E-06,1.00E-05,7.00E-05,2.00E-04
UP000000370_CP000885,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium phytofermentans,0.00014,0.000141818,6.03E-05,8.50E-05,0.00018,6.00E-05,9.50E-05,0.00014,0.00018,0.00024,0.000165,0.000164,5.15E-05,5.00E-05,0.00017,8.00E-05,0.000135,0.000165,0.000185,0.00025,0.00012,0.0001225,5.72E-05,4.75E-05,0.00023,3.00E-05,9.50E-05,0.00012,0.0001425,0.00026,9.00E-05,0.000101667,5.78E-05,8.75E-05,0.00019,4.00E-05,5.50E-05,9.00E-05,0.0001425,0.00023
UP000007011_CP000970,Escherichia coli (strain SMS-3-5 / SECEC),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,3.00E-05,0.0013,0.004081201,5.50E-05,0.0136,0,1.50E-05,3.00E-05,7.00E-05,0.0136,4.50E-05,0.001086,0.001957159,0.0008525,0.00475,0,1.00E-05,4.50E-05,0.0008625,0.00475,0.00121,0.018260833,0.056221361,0.00373,0.19656,1.00E-05,4.25E-05,0.00121,0.0037725,0.19657,0.00367,0.012760833,0.017084755,0.0168175,0.04784,0.00046,0.001595,0.00367,0.0184125,0.0483
UP000001031_CP001071,Akkermansia muciniphila (strain ATCC BAA-835 / Muc),Bacteria; PVC group; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila,0.00549,0.042109091,0.070576201,0.045755,0.21113,3.00E-05,0.00032,0.00549,0.046075,0.21116,0.00247,0.037809,0.073882828,0.020505,0.22266,2.00E-05,0.0003875,0.00247,0.0208925,0.22268,0.00198,0.020271667,0.028394861,0.044115,0.08056,0,7.00E-05,0.00198,0.044185,0.08056,0.00435,0.036084167,0.096805621,0.01358,0.34111,0,0.0005675,0.00435,0.0141475,0.34111
UP000001360_CP001095,Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. infantis,0.00178,0.002113636,0.001656776,0.00327,0.00381,0.00035,0.000585,0.00178,0.003855,0.00416,0.00105,0.001411,0.001433732,0.0013175,0.0047,0.00023,0.0004175,0.00105,0.001735,0.00493,0.002075,0.007143333,0.012539757,0.0042,0.04397,5.00E-04,0.001345,0.002075,0.005545,0.04447,0.000215,0.00084,0.001479146,0.00067,0.00497,0,5.25E-05,0.000215,0.0007225,0.00497
UP000001476_CP001104,Eubacterium eligens (strain ATCC 27750 / VPI C15-48),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; [Eubacterium] eligens,0.00355,0.005992727,0.006921098,0.00751,0.02051,0.00026,0.001315,0.00355,0.008825,0.02077,0.007105,0.005553,0.002972515,0.0046025,0.00759,0.00109,0.0029575,0.007105,0.00756,0.00868,0.00108,0.001943333,0.002036295,0.002615,0.00563,0.00012,0.0004325,0.00108,0.0030475,0.00575,0.00045,0.001239167,0.001726381,0.001215,0.0055,5.00E-05,0.0001275,0.00045,0.0013425,0.00555
UP000001477_CP001107,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified Lachnospiraceae; [Eubacterium] rectale,0.01263,0.015848182,0.011267499,0.010855,0.03508,0.00109,0.00759,0.01263,0.018445,0.03617,0.02872,0.026445,0.018603708,0.0263575,0.0555,0.0025,0.0120425,0.02872,0.0384,0.058,0.00343,0.010650833,0.014006527,0.0108375,0.03907,0.00027,0.0022125,0.00343,0.01305,0.03934,0.001125,0.002179167,0.002786893,0.00156,0.01005,6.00E-05,0.000765,0.001125,0.002325,0.01011
UP000006173_CP001361,Bifidobacterium bifidum BGN4,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum,0.00012,0.000549091,0.000801841,0.000725,0.00269,3.00E-05,6.50E-05,0.00012,0.00079,0.00272,0.00024,0.000476,0.000838414,0.0003325,0.00278,4.00E-05,6.25E-05,0.00024,0.000395,0.00282,0.001015,0.001731667,0.002021794,0.0027175,0.00619,2.00E-05,6.25E-05,0.001015,0.00278,0.00621,8.00E-05,0.000613333,0.001434689,0.00023,0.00502,0,1.75E-05,8.00E-05,0.0002475,0.00502
